PlayerYearID|Name|Team|Year|CMP|ATT|CMP PCT|YARDS|YPA|ADJ YPA|TD|INT|PASS RTG|TD PCT|INT PCT|CollegeID|Link
dion-ray-1-2017|Dion Ray|Louisiana|2017|0|1|0|0|0|0|0|0|0|0|0|dion-ray-1|/cfb/players/dion-ray-1.html
dj-gillins-1-2017|D.J. Gillins|SMU|2017|1|4|25|76|19|24|1|0|267.1|25|0|dj-gillins-1|/cfb/players/dj-gillins-1.html
dj-moore-3-2017|D.J. Moore|Maryland|2017|2|2|100|15|7.5|7.5|0|0|163|0|0|dj-moore-3|/cfb/players/dj-moore-3.html
donavan-tate-1-2017|Donavan Tate|Arizona|2017|1|1|100|10|10|10|0|0|184|0|0|donavan-tate-1|/cfb/players/donavan-tate-1.html
dontrell-hilliard-1-2017|Dontrell Hilliard|Tulane|2017|0|1|0|0|0|0|0|0|0|0|0|dontrell-hilliard-1|/cfb/players/dontrell-hilliard-1.html
drew-anderson-1-2017|Drew Anderson|Buffalo|2017|66|106|62.3|1039|9.8|11.3|10|1|173.8|9.43|0.94|drew-anderson-1|/cfb/players/drew-anderson-1.html
drew-barker-1-2017|Drew Barker|Kentucky|2017|4|7|57.1|49|7|7|0|0|115.9|0|0|drew-barker-1|/cfb/players/drew-barker-1.html
drew-eckels-1-2017|Drew Eckels|Western Kentucky|2017|8|11|72.7|86|7.8|3.7|0|1|120.2|0|9.09|drew-eckels-1|/cfb/players/drew-eckels-1.html
drew-lock-1-2017|Drew Lock|Missouri|2017|242|419|57.8|3964|9.5|10.2|44|13|165.7|10.5|3.1|drew-lock-1|/cfb/players/drew-lock-1.html
drew-plitt-1-2017|Drew Plitt|Ball State|2017|42|84|50|430|5.1|4.2|3|3|97.6|3.57|3.57|drew-plitt-1|/cfb/players/drew-plitt-1.html
dru-brown-1-2017|Dru Brown|Hawaii|2017|254|412|61.7|2785|6.8|6.8|18|8|129|4.37|1.94|dru-brown-1|/cfb/players/dru-brown-1.html
dustin-crum-1-2017|Dustin Crum|Kent State|2017|16|30|53.3|232|7.7|5.4|1|2|116|3.33|6.67|dustin-crum-1|/cfb/players/dustin-crum-1.html
dwayne-haskins-1-2017|Dwayne Haskins|Ohio State|2017|40|57|70.2|565|9.9|10.5|4|1|173.1|7.02|1.75|dwayne-haskins-1|/cfb/players/dwayne-haskins-1.html
dymond-lee-1-2017|Dymond Lee|UCLA|2017|1|1|100|1|1|1|0|0|108.4|0|0|dymond-lee-1|/cfb/players/dymond-lee-1.html
elijah-sindelar-1-2017|Elijah Sindelar|Purdue|2017|187|329|56.8|2099|6.4|6.5|18|7|124.2|5.47|2.13|elijah-sindelar-1|/cfb/players/elijah-sindelar-1.html
eltoro-allen-1-2017|Eltoro Allen|Utah State|2017|0|1|0|0|0|0|0|0|0|0|0|eltoro-allen-1|/cfb/players/eltoro-allen-1.html
eric-dungey-1-2017|Eric Dungey|Syracuse|2017|225|377|59.7|2495|6.6|6.3|14|9|122.8|3.71|2.39|eric-dungey-1|/cfb/players/eric-dungey-1.html
evan-orth-1-2017|Evan Orth|South Alabama|2017|0|1|0|0|0|0|0|0|0|0|0|evan-orth-1|/cfb/players/evan-orth-1.html
evan-shirreffs-1-2017|Evan Shirreffs|Miami (FL)|2017|2|7|28.6|16|2.3|2.3|0|0|47.8|0|0|evan-shirreffs-1|/cfb/players/evan-shirreffs-1.html
feleipe-franks-1-2017|Feleipe Franks|Florida|2017|125|229|54.6|1438|6.3|5.5|9|8|113.3|3.93|3.49|feleipe-franks-1|/cfb/players/feleipe-franks-1.html
frank-nutile-1-2017|Frank Nutile|Temple|2017|122|199|61.3|1600|8|7.7|12|7|141.7|6.03|3.52|frank-nutile-1|/cfb/players/frank-nutile-1.html
gardner-minshew-1-2017|Gardner Minshew|East Carolina|2017|174|304|57.2|2140|7|7.1|16|7|129.1|5.26|2.3|gardner-minshew-1|/cfb/players/gardner-minshew-1.html
garret-lewis-1-2017|Garret Lewis|Navy|2017|10|23|43.5|195|8.5|6.3|2|2|126|8.7|8.7|garret-lewis-1|/cfb/players/garret-lewis-1.html
garrett-groshek-1-2017|Garrett Groshek|Wisconsin|2017|1|1|100|9|9|9|0|0|175.6|0|0|garrett-groshek-1|/cfb/players/garrett-groshek-1.html
garrett-smith-2-2017|Garrett Smith|Louisiana-Monroe|2017|35|60|58.3|587|9.8|9.2|5|3|158|8.33|5|garrett-smith-2|/cfb/players/garrett-smith-2.html
gary-jennings-1-2017|Gary Jennings|West Virginia|2017|0|1|0|0|0|0|0|0|0|0|0|gary-jennings-1|/cfb/players/gary-jennings-1.html
gavin-locklear-1-2017|Gavin Locklear|North Carolina State|2017|1|1|100|20|20|20|0|0|268|0|0|gavin-locklear-1|/cfb/players/gavin-locklear-1.html
george-bollas-1-2017|George Bollas|Kent State|2017|88|182|48.4|1133|6.2|3.7|4|12|94.7|2.2|6.59|george-bollas-1|/cfb/players/george-bollas-1.html
geraud-sanders-1-2017|Geraud Sanders|Air Force|2017|1|1|100|24|24|24|0|0|301.6|0|0|geraud-sanders-1|/cfb/players/geraud-sanders-1.html
giovanni-rescigno-1-2017|Giovanni Rescigno|Rutgers|2017|47|100|47|517|5.2|5.1|2|1|95|2|1|giovanni-rescigno-1|/cfb/players/giovanni-rescigno-1.html
glen-cuiellette-1-2017|Glen Cuiellette|Tulane|2017|1|1|100|11|11|11|0|0|192.4|0|0|glen-cuiellette-1|/cfb/players/glen-cuiellette-1.html
glenn-smith-2-2017|Glenn Smith|Georgia State|2017|0|1|0|0|0|-45|0|1|-200|0|100|glenn-smith-2|/cfb/players/glenn-smith-2.html
grant-loy-1-2017|Grant Loy|Bowling Green State|2017|9|16|56.3|161|10.1|4.4|0|2|115.8|0|12.5|grant-loy-1|/cfb/players/grant-loy-1.html
greg-dortch-1-2017|Greg Dortch|Wake Forest|2017|0|1|0|0|0|0|0|0|0|0|0|greg-dortch-1|/cfb/players/greg-dortch-1.html
gus-ragland-1-2017|Gus Ragland|Miami (OH)|2017|152|270|56.3|2032|7.5|7.8|19|7|137.6|7.04|2.59|gus-ragland-1|/cfb/players/gus-ragland-1.html
hasaan-klugh-1-2017|Hasaan Klugh|Charlotte|2017|133|279|47.7|1524|5.5|4.1|10|13|96.1|3.58|4.66|hasaan-klugh-1|/cfb/players/hasaan-klugh-1.html
hayden-hurst-1-2017|Hayden Hurst|South Carolina|2017|0|1|0|0|0|0|0|0|0|0|0|hayden-hurst-1|/cfb/players/hayden-hurst-1.html
hayden-moore-1-2017|Hayden Moore|Cincinnati|2017|239|424|56.4|2562|6|6|20|9|118.4|4.72|2.12|hayden-moore-1|/cfb/players/hayden-moore-1.html
hunter-hayek-1-2017|Hunter Hayek|Rutgers|2017|1|1|100|-8|-8|-8|0|0|32.8|0|0|hunter-hayek-1|/cfb/players/hunter-hayek-1.html
hunter-johnson-1-2017|Hunter Johnson|Clemson|2017|21|27|77.8|234|8.7|8.5|2|1|167.6|7.41|3.7|hunter-johnson-1|/cfb/players/hunter-johnson-1.html
hutch-white-1-2017|Hutch White|Texas State|2017|2|2|100|57|28.5|48.5|2|0|669.4|100|0|hutch-white-1|/cfb/players/hutch-white-1.html
ian-book-1-2017|Ian Book|Notre Dame|2017|46|75|61.3|456|6.1|4.7|4|4|119.3|5.33|5.33|ian-book-1|/cfb/players/ian-book-1.html
isaac-holder-1-2017|Isaac Holder|Eastern Michigan|2017|3|3|100|106|35.3|42|1|0|506.8|33.33|0|isaac-holder-1|/cfb/players/isaac-holder-1.html
isaac-stiebeling-1-2017|Isaac Stiebeling|Eastern Michigan|2017|8|17|47.1|49|2.9|2.9|0|0|71.3|0|0|isaac-stiebeling-1|/cfb/players/isaac-stiebeling-1.html
isaiah-sanders-1-2017|Isaiah Sanders|Air Force|2017|4|15|26.7|33|2.2|-0.8|0|1|31.8|0|6.67|isaiah-sanders-1|/cfb/players/isaiah-sanders-1.html
isaiah-wright-1-2017|Isaiah Wright|Temple|2017|2|4|50|-5|-1.3|-1.3|0|0|39.5|0|0|isaiah-wright-1|/cfb/players/isaiah-wright-1.html
ivan-oraha-1-2017|Ivan Oraha|Eastern Michigan|2017|0|1|0|0|0|0|0|0|0|0|0|ivan-oraha-1|/cfb/players/ivan-oraha-1.html
jack-coan-1-2017|Jack Coan|Wisconsin|2017|5|5|100|36|7.2|7.2|0|0|160.5|0|0|jack-coan-1|/cfb/players/jack-coan-1.html
jack-milas-1-2017|Jack Milas|Ball State|2017|110|207|53.1|970|4.7|3.1|2|8|88|0.97|3.86|jack-milas-1|/cfb/players/jack-milas-1.html
jackson-anthrop-1-2017|Jackson Anthrop|Purdue|2017|1|1|100|24|24|24|0|0|301.6|0|0|jackson-anthrop-1|/cfb/players/jackson-anthrop-1.html
jackson-tyner-1-2017|Jackson Tyner|Rice|2017|46|97|47.4|598|6.2|4.3|2|5|95.7|2.06|5.15|jackson-tyner-1|/cfb/players/jackson-tyner-1.html
jacob-eason-1-2017|Jacob Eason|Georgia|2017|4|7|57.1|28|4|4|0|0|90.7|0|0|jacob-eason-1|/cfb/players/jacob-eason-1.html
jacob-huesman-1-2017|Jacob Huesman|Appalachian State|2017|2|3|66.7|14|4.7|4.7|0|0|105.9|0|0|jacob-huesman-1|/cfb/players/jacob-huesman-1.html
jacob-park-1-2017|Jacob Park|Iowa State|2017|100|162|61.7|1181|7.3|7|9|5|135.1|5.56|3.09|jacob-park-1|/cfb/players/jacob-park-1.html
jake-arceneaux-1-2017|Jake Arceneaux|Louisiana|2017|1|1|100|6|6|6|0|0|150.4|0|0|jake-arceneaux-1|/cfb/players/jake-arceneaux-1.html
jake-bentley-2-2017|Jake Bentley|South Carolina|2017|245|394|62.2|2794|7.1|6.6|18|12|130.7|4.57|3.05|jake-bentley-2|/cfb/players/jake-bentley-2.html
jake-browning-1-2017|Jake Browning|Washington|2017|230|336|68.5|2719|8.1|8.6|19|5|152.1|5.65|1.49|jake-browning-1|/cfb/players/jake-browning-1.html
jake-fromm-1-2017|Jake Fromm|Georgia|2017|181|291|62.2|2615|9|9.6|24|7|160.1|8.25|2.41|jake-fromm-1|/cfb/players/jake-fromm-1.html
jake-funk-1-2017|Jake Funk|Maryland|2017|1|1|100|3|3|3|0|0|125.2|0|0|jake-funk-1|/cfb/players/jake-funk-1.html
