PlayerYearID|Name|Year|POS|Team|HGT|WGT|FORTY|VERT|BENCH|BROAD|CONE|SHUT|College Link|NFL Link|CollegeID|PlayerID
calvin-ridley-1|Calvin Ridley|2018|WR|Alabama|72|189|4.43|31.0|15.0|110.0|6.88|4.41|/cfb/players/calvin-ridley-1.html|/players/R/RidlCa00.htm|calvin-ridley-1|RidlCa00
cam-phillips-1|Cam Phillips|2018|WR|Virginia Tech|72|201|||||||/cfb/players/cam-phillips-1.html|/players/P/PhilCa01.htm|cam-phillips-1|PhilCa01
carlton-davis-1|Carlton Davis|2018|CB|Auburn|73|203|4.53|34.0|16.0|124.0|||/cfb/players/carlton-davis-1.html|/players/D/DaviCa02.htm|carlton-davis-1|DaviCa02
cedric-wilson-3|Cedrick Wilson|2018|WR|Boise St.|74|197|4.55|37.0|9.0|121.0|6.89|4.23|/cfb/players/cedric-wilson-3.html|/players/W/WilsCe01.htm|cedric-wilson-3|WilsCe01
chad-thomas-1|Chad Thomas|2018|DE|Miami|78|281|4.92|29.0||116.0|||/cfb/players/chad-thomas-1.html|/players/T/ThomCh06.htm|chad-thomas-1|ThomCh06
chandon-sullivan-1|Chandon Sullivan|2018|CB|Georgia State|71|195|4.6|40.5|15.0|134.0||4.36|/cfb/players/chandon-sullivan-1.html|/players/S/SullCh00.htm|chandon-sullivan-1|SullCh00
chase-edmonds-2018|Chase Edmonds|2018|RB|Fordham|69|205|4.55|34.0|19.0|122.0|6.79|4.07||||
chase-litton-1|Chase Litton|2018|QB|Marshall|77|230|4.9|29.5||106.0|7.49|4.53|/cfb/players/chase-litton-1.html|/players/L/LittCh00.htm|chase-litton-1|LittCh00
chris-campbell-2018|Chris Campbell|2018|CB|Penn St.|73|194|||14.0|||||||
chris-covington-1|Chris Covington|2018|OLB|Indiana|74|245|4.78||23.0||||/cfb/players/chris-covington-1.html||chris-covington-1|
christopher-herndon-iv-1|Chris Herndon|2018|TE|Miami|76|253|||21.0||||/cfb/players/christopher-herndon-iv-1.html||christopher-herndon-iv-1|
chris-jones-12|Chris Jones|2018|CB|Nebraska|72|195|4.57||14.0||||/cfb/players/chris-jones-12.html||chris-jones-12|
chris-lacy-2|Chris Lacy|2018|WR|Oklahoma St.|75|205|4.51|33.5|11.0|120.0|||/cfb/players/chris-lacy-2.html||chris-lacy-2|
chris-warren-iii-1|Chris Warren|2018|RB|Texas|74|247|4.69|33.0|25.0|121.0|6.98|4.18|/cfb/players/chris-warren-iii-1.html||chris-warren-iii-1|
chris-worley-1|Chris Worley|2018|ILB|Ohio St.|74|238|4.86|29.5|15.0||||/cfb/players/chris-worley-1.html|/players/W/WorlCh00.htm|chris-worley-1|WorlCh00
christian-kirk-1|Christian Kirk|2018|WR|Texas A&M|70|201|4.47|35.5|20.0|115.0|7.09|4.45|/cfb/players/christian-kirk-1.html|/players/K/KirkCh01.htm|christian-kirk-1|KirkCh01
christian-sam-1|Christian Sam|2018|ILB|Arizona State|74|244|4.75|32.0|28.0|114.0|7.03|4.25|/cfb/players/christian-sam-1.html|/players/S/SamxCh00.htm|christian-sam-1|SamxCh00
chukwuma-okorafor-1|Chukwuma Okorafor|2018|OT|Western Michigan|78|320|5.31|23.5|19.0|102.0|7.87|4.8|/cfb/players/chukwuma-okorafor-1.html|/players/O/OkorCh00.htm|chukwuma-okorafor-1|OkorCh00
colby-gossett-1|Colby Gossett|2018|OG|Appalachian St.|77|311|5.2|25.0|32.0|103.0|7.6|4.83|/cfb/players/colby-gossett-1.html||colby-gossett-1|
cole-madison-1|Cole Madison|2018|OL|Washington St.|77|308|5.33|28.5|26.0|97.0|7.86|4.88|/cfb/players/cole-madison-1.html||cole-madison-1|
coleman-shelton-1|Coleman Shelton|2018|C|Washington|75|292|5.24|26.5||110.0|7.62|4.59|/cfb/players/coleman-shelton-1.html|/players/S/ShelCo00.htm|coleman-shelton-1|ShelCo00
connor-williams-2|Connor Williams|2018|OT|Texas|77|296|5.05|34.0|26.0|112.0|7.83|4.63|/cfb/players/connor-williams-2.html|/players/W/WillCo00.htm|connor-williams-2|WillCo00
courtland-sutton-1|Courtland Sutton|2018|WR|SMU|75|218|4.54|35.5|18.0|124.0|6.57|4.11|/cfb/players/courtland-sutton-1.html|/players/S/SuttCo00.htm|courtland-sutton-1|SuttCo00
daesean-hamilton-1|Daesean Hamilton|2018|WR|Penn St.|73|203||34.5||118.0|6.84|4.15|/cfb/players/daesean-hamilton-1.html|/players/H/HamiDa01.htm|daesean-hamilton-1|HamiDa01
dallas-goedert-2018|Dallas Goedert|2018|TE|South Dakota St.|77|256|||23.0|||||||
dalton-schultz-1|Dalton Schultz|2018|TE|Stanford|77|244|4.75|32.0|15.0|120.0|7.0|4.4|/cfb/players/dalton-schultz-1.html||dalton-schultz-1|
damon-webb-1|Damon Webb|2018|S|Ohio St.|71|195|4.62||17.0||||/cfb/players/damon-webb-1.html|/players/W/WebbDa01.htm|damon-webb-1|WebbDa01
dane-cruikshank-1|Dane Cruikshank|2018|S|Arizona|73|206|4.41|38.5|25.0|121.0|6.89|4.24|/cfb/players/dane-cruikshank-1.html|/players/C/CruiDa00.htm|dane-cruikshank-1|CruiDa00
daniel-carlson-1|Daniel Carlson|2018|K|Auburn|77|213|||||||/cfb/players/daniel-carlson-1.html||daniel-carlson-1|
danny-etling-1|Danny Etling|2018|QB|LSU|74|222|4.76|30.5||114.0|7.09|4.37|/cfb/players/danny-etling-1.html||danny-etling-1|
danny-johnson-2018|Danny Johnson|2018|CB|Southern|70|185|4.44|35.0|15.0|123.0||||||
dante-pettis-1|Dante Pettis|2018|WR|Washington|72|186|||||||/cfb/players/dante-pettis-1.html|/players/P/PettDa00.htm|dante-pettis-1|PettDa00
darius-jackson-2018|Darius Jackson|2018|EDGE|Jacksonville St.|75|242|4.87|26.5|21.0|113.0|7.52|||||
darius-leonard-2018|Darius Leonard|2018|OLB|South Carolina St.|74|234|4.7||17.0|||||||
darius-phillips-1|Darius Phillips|2018|CB|Western Michigan|70|190|4.54||||||/cfb/players/darius-phillips-1.html|/players/P/PhilDa02.htm|darius-phillips-1|PhilDa02
daron-payne-1|Daron Payne|2018|DT|Alabama|74|311|4.95|28.5|27.0|107.0|7.58|4.71|/cfb/players/daron-payne-1.html||daron-payne-1|
darrel-williams-1|Darrel Williams|2018|RB|LSU|72|225|4.72|32.0|22.0|109.0||4.21|/cfb/players/darrel-williams-1.html|/players/W/WillDa10.htm|darrel-williams-1|WillDa10
darren-carrington-1|Darren Carrington II|2018|WR|Utah|74|199||36.0||120.0|||/cfb/players/darren-carrington-1.html||darren-carrington-1|
dashawn-hand-1|Dashawn Hand|2018|DE|Alabama|76|297|4.83|31.5|28.0|111.0|7.98|4.62|/cfb/players/dashawn-hand-1.html||dashawn-hand-1|
david-bright-1|David Bright|2018|OT|Stanford|77|307|||||||/cfb/players/david-bright-1.html|/players/B/BrigDa00.htm|david-bright-1|BrigDa00
david-wells-2|David Wells|2018|TE|San Diego St.|78|256|4.75|33.0|20.0|116.0|7.5|4.59|/cfb/players/david-wells-2.html||david-wells-2|
davin-bellamy-1|Davin Bellamy|2018|EDGE|Georgia|77|255|||15.0||||/cfb/players/davin-bellamy-1.html|/players/B/BellDa00.htm|davin-bellamy-1|BellDa00
davon-grayson-1|Davon Grayson|2018|WR|East Carolina|73|199|4.51|34.5|19.0|124.0|||/cfb/players/davon-grayson-1.html||davon-grayson-1|
davontae-harris-2018|Davontae Harris|2018|CB|Illinois St.|72|200|4.43|32.5|22.0|123.0|6.96|4.4||||
deadrin-senat-1|Deadrin Senat|2018|DT|South Florida|72|314|5.16|26.0|35.0|100.0|7.77|4.79|/cfb/players/deadrin-senat-1.html||deadrin-senat-1|
dee-delaney-1|Dee Delaney|2018|CB|Miami|73|194|4.46|32.5|13.0|120.0|6.95|4.25|/cfb/players/dee-delaney-1.html||dee-delaney-1|
demario-richard-1|Demario Richard|2018|RB|Arizona State|69|218|4.7|29.5|12.0|115.0|||/cfb/players/demario-richard-1.html||demario-richard-1|
denzel-ward-3|Denzel Ward|2018|CB|Ohio St.|70|191|4.32|39.0|16.0|136.0|||/cfb/players/denzel-ward-3.html|/players/W/WardDe02.htm|denzel-ward-3|WardDe02
deon-cain-1|Deon Cain|2018|WR|Clemson|74|202|4.43|33.5|11.0|115.0|6.71|4.37|/cfb/players/deon-cain-1.html|/players/C/CainDe00.htm|deon-cain-1|CainDe00
deontay-burnett-1|Deontay Burnett|2018|WR|USC|72|186|||||||/cfb/players/deontay-burnett-1.html|/players/B/BurnDe00.htm|deontay-burnett-1|BurnDe00
derrick-nnadi-1|Derrick Nnadi|2018|DT|Florida St.|73|317|5.38|27.0|25.0|96.0|8.15|5.02|/cfb/players/derrick-nnadi-1.html|/players/N/NnadDe00.htm|derrick-nnadi-1|NnadDe00
derrius-guice-1|Derrius Guice|2018|RB|LSU|70|224|4.49|31.5|15.0||||/cfb/players/derrius-guice-1.html|/players/G/GuicDe00.htm|derrius-guice-1|GuicDe00
derwin-james-1|Derwin James|2018|S|Florida St.|75|215|4.47|40.0|21.0|132.0|||/cfb/players/derwin-james-1.html|/players/J/JameDe00.htm|derwin-james-1|JameDe00
deshon-elliott-1|Deshon Elliott|2018|S|Texas|74|205|4.58|36.0|15.0|121.0|||/cfb/players/deshon-elliott-1.html|/players/E/ElliDe02.htm|deshon-elliott-1|ElliDe02
desmond-harrison-2018|Desmond Harrison|2018|OT|West Georgia|78|292|4.9|||||||||
dj-chark-1|D.J. Chark|2018|WR|LSU|75|199|4.34|40.0|16.0|129.0|||/cfb/players/dj-chark-1.html||dj-chark-1|
dj-moore-3|D.J. Moore|2018|WR|Maryland|72|210|4.42|39.5|15.0|132.0|6.95|4.07|/cfb/players/dj-moore-3.html|/players/M/MoorD.00.htm|dj-moore-3|MoorD.00
dj-reed-2|D.J. Reed|2018|CB|Kansas St.|69|188|4.51|36.5|11.0||||/cfb/players/dj-reed-2.html|/players/R/ReedD.00.htm|dj-reed-2|ReedD.00
dmitri-flowers-1|Dimitri Flowers|2018|RB|Oklahoma|74|248|4.83|30.5|17.0|109.0|7.45|4.53|/cfb/players/dmitri-flowers-1.html|/players/F/FlowDi00.htm|dmitri-flowers-1|FlowDi00
dmontre-wade-2018|Dmontre Wade|2018|CB|Murray St.|72|200|4.57|35.5|15.0|120.0||4.4||||
dominick-sanders-1|Dominick Sanders|2018|S|Georgia|72|193|||14.0||||/cfb/players/dominick-sanders-1.html||dominick-sanders-1|
